Законопослушный гражданин,Law Abiding Citizen,2009,США,Триллер
Таинственная река,Mystic River,2003,"США, Австралия",Триллер
Лучшее предложение,La migliore offerta,2012,Италия,Триллер
Елизавета,Elisabeth,1998,Великобритания,История
Джон Ф. Кеннеди: Выстрелы в Далласе,JFK,1991,"США, Франция",История
Ганди,Gandhi,1982,"Великобритания, Индия",История
Андрей Рублев,,1966,СССР,История
Железная леди,The Iron Lady,2011,"Великобритания,Франция",История
Война и мир,,1965,СССР,История
Гладиатор,Gladiator,2000,"США, Великобритания",История
Александр,Troy,2004,"США, Мальта, Великобритания",История
Апокалипсис,Apocalypto,2006,США,История
Семь лет в Тибете,Seven Years in Tibet,1997,"США, Великобритания",История
Последний самурай,The Last Samurai,2003,США,История
Патриот,The Patriot,2000,"Германия, США",История
Храброе сердце,Braveheart,1995,США,История
Последний король Шотландии,The Last King of Scotland,2006,"Великобритания, Германия, США",История
Фрост против Никсона,Frost/Nixon,2008,"США, Великобритания, Франция",История
Адмиралъ,,2008,Россия,История
Последний император,The Last Emperor,1987,"Китай, Италия, Великобритания",История
Спартак,Spartacus,1960,США,История
Король говорит!,The King's Speech,2010,"Великобритания, США, Австралия",История
Список Шиндлера,Schindler's List,1993,США,История
Джентльмены удачи,,1971,СССР,Комедия
Тупой и ещё тупее,Dumb & Dumber,1994,США,Комедия
12 стульев,,1971,СССР,Комедия
"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",1998,Великобритания,Комедия
Большой куш,Snatch.,2000,"Великобритания, США",Комедия
Отпетые мошенники,Dirty Rotten Scoundrels,1988,США,Комедия
Бриллиантовая рука,,1968,СССР,Комедия
Невероятные приключения итальянцев в России,,1973,"СССР, Италия",Комедия
Аэроплан,Airplane!,1980,США,Комедия
Голый пистолет,The Naked Gun: From the Files of Police Squad!,1988,США,Комедия
Бобро поржаловать,Bienvenue chez les Ch'tis,2008,Франция,Комедия
Американский пирог,American Pie,1999,США,Комедия
В джазе только девушки,Some Like It Hot,1959,США,Комедия
Как украсть миллион,How to Steal a Million,1966,США,Комедия
Берегись автомобиля,,1966,СССР,Комедия
"Кавказская пленница, или Новые приключения Шурика",,1966,СССР,Комедия
Иван Васильевич меняет профессию,,1973,СССР,Комедия
Мальчишник в вегасе,The Hangover ,2009,США,Комедия
Маска,The Mask,1994,США,Комедия
День сурка,Groundhog Day,1993,США,Комедия
Дневник памяти,The Notebook,2004,США,Мелодрама
Ромео и Джульетта,Romeo and Juliet,1968,"Великобритания, Италия",Мелодрама
Вам и не снилось...,,1980,СССР,Мелодрама
Жестокий романс,,1984,СССР,Мелодрама
Мосты округа Мэдисон,The Bridges of Madison County,1995,США,Мелодрама
Разрисованная вуаль,The Painted Veil,2006,"Китай, США, Канада",Мелодрама
Великий Гэтсби,The Great Gatsby,2013,"Австралия, США",Мелодрама
Мемуары гейши,Memoirs of a Geisha,2005,США,Мелодрама
ПС. Я люблю тебя,P.S. I Love You,2007,США,Мелодрама
Любовное настроение,Fa yeung nin wa,2000,"Гонконг, Франция",Мелодрама
Искупление,Atonement,2007,"Великобритания, Франция, США",Мелодрама
Москва слезам не верит,,1979,СССР,Мелодрама
Босиком по мостовой,Barfuss,2005,Германия,Мелодрама
Девушка на мосту,La fille sur le pont,1999,Франция,Мелодрама
Грязные танцы,Dirty Dancing,1987,США,Мелодрама
Амели,Le Fabuleux destin d'Amelie Poulain,2001,"Франция, Германия",Мелодрама
Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,2004,США,Мелодрама
Один день,One Day,2011,США,Мелодрама
Одержимость,Wicker Park,2004,США,Мелодрама
"Знакомьтесь, Джо Блэк",Meet Joe Black,1998,США,Мелодрама
Индиана Джонс и последний крестовый поход,Indiana Jones and the Last Crusade,1989,США,Приключения
Изгой,Cast Away,2000,США,Приключения
Жизнь Пи,Life of Pi,2012,"США, Тайвань, Великобритания",Приключения
Сахара,Sahara,2005,США,Приключения
Кинг Конг,King Kong,2005,США,Приключения
Путешествие к Центру Земли,Journey to the Center of the Earth,2008,США,Приключения
Невероятная жизнь Уолтера Митти,The Secret Life of Walter Mitty,2013,США,Приключения
Австралия,Australia,2008,"Австралия, США, Великобритания",Приключения
Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,2003,США,Приключения
Сердца трёх,,1992,Россия,Приключения
Маска зорро,The Mask of Zorro,1998,"США, Германия",Приключения
Мумия,The Mummy,1999,США,Приключения
Доспехи Бога,Long xiong hu di,1986,"Гонконг, Югославия",Приключения
"Свой среди чужих, чужой среди своих",,1974,СССР,Приключения
Роман с камнем,Romancing the Stone,1984,"Мексика, США",Приключения
Лара Крофт: Расхитительница гробниц,Lara Croft: Tomb Raider,2001,США,Приключения
Хозяин морей: На краю Земли,Master and Commander: The Far Side of the World,2003,США,Приключения
Белый шквал,White Squall,1996,США,Приключения
Лоуренс Аравийский,Lawrence of Arabia,1962,Великобритания,Приключения
Баунти,The Bounty,1984,"Великобритания, США",Приключения
Изгоняющий дьявола,The Exorcist,1973,США,Ужасы
Омен,Omen,1976,США,Ужасы
Ведьма из Блэр: Курсовая с того света,The Blair Witch Project,1999,США,Ужасы
Оно,It,1990,США,Ужасы
Звонок,The Ring,2002,"США, Япония",Ужасы
Зеркала,Mirrors,2008,"США, Румыния, Германия",Ужасы
Сайлент Хилл,Silent Hill,2006,"Канада, Франция",Ужасы
28 дней спустя,28 Days Later...,2002,Великобритания,Ужасы
Крик,Scream,1996,США,Ужасы
Мгла,The Mist,2007,США,Ужасы
Женщина в черном,The Woman in Black,2012,"Великобритания, Канада, Швеция",Ужасы
Кошмар на улице Вязов,A Nightmare on Elm Street,1984,США,Ужасы
У холмов есть глаза,The Hills Have Eyes,2006,США,Ужасы
Техаская резня бензопилой,The Texas Chainsaw Massacre,2003,США,Ужасы
1408,1408,2007,США,Ужасы
Сияние,The Shining,1980,"США, Великобритания",Ужасы
Пятница 13-е,Friday the 13th,2009,США,Ужасы
Хэллоуин,Halloween,1978,США,Ужасы
Восставший из ада,Hellraiser,1987,США,Ужасы
Пила: Игра на выживание,Saw,2004,"США, Австралия",Ужасы
Матрица,The Matrix,1999,"США, Австралия",Фантастика
Терминатор 2: Судный день,Terminator 2: Judgment Day,1991,"США, Франция",Фантастика
Грань будущего,Edge of Tomorrow,2014,"США, Канада",Фантастика
Аватар,Avatar,2009,"США, Великобритания",Фантастика
Звёздный Путь,Star Trek,2009,"США, Германия",Фантастика
Чужие,Aliens,1986,США,Фантастика
Пятый элемент,The Fifth Element,1997,Франция,Фантастика
Сквозь горизонт,Event Horizon,1997,США,Фантастика
Солярис,Solaris,2002,США,Фантастика
